16:03:09 | INFO    | train_pibe         | experiment:
system            : automatica_n4(n=4) on cpu (torch.float64)
true theta        : [0.23502650090327654, 0.10390993219989397, -0.020308528436274564]
basis             : FourierBasis(q=4, H=2, omega=1.25664, horizon=[0, 20], periods=4)
  lambda_min(W)   : 1.0000e+01   (Eq. 3, must be > 0)
  eps_(d,q)       : 0.0000e+00
noise             : TruncatedGaussianNoise(sigma=0.002, bound=0.006)
data              : TrajectoryData(P=64, N=201, n=4, horizon=[0, 20])
  train / val     : 51 / 13
  data fill h_d   : 5.0000e-02
  coll fill h_r   : 2.5000e-02
bank              : cells 2..5, 414222 parameters
16:03:09 | INFO    | train_pibe         | disturbance observability  (sigma = 0.002, N = 201)
  i |       gain |    settled |  signature |     SNR |  eff SNR |
----------------------------------------------------------------------------
  1 |  9.507e-02 |  7.313e-02 |  1.097e-02 |    5.48 |    77.76 |
  2 |  7.249e-02 |  7.508e-02 |  1.126e-02 |    5.63 |    79.83 |
  3 |  3.235e-02 |  1.526e-02 |  1.832e-03 |    0.92 |    12.98 |  <- below the noise floor
  4 |  1.297e-02 |  1.230e-02 |  1.476e-03 |    0.74 |    10.47 |  <- below the noise floor

basis function 4 leaves a trace 0.74x the noise; it is not
recoverable pointwise. Reduce sigma, lower the basis frequency, lengthen the
horizon, or reduce q -- training cannot help.
16:05:45 | INFO    | pibe.training.trainer |   cell 3 | i= 3000 | global | obj=7.9978e-05 | data=2.9488e-05 | phys=1.3874e-05 | |g|=1.86e-02
16:05:53 | INFO    | pibe.training.trainer |   cell 3 | i= 3250 | global | obj=6.7872e-05 | data=1.3605e-05 | phys=4.9820e-06 | |g|=8.76e-02
16:06:01 | INFO    | pibe.training.trainer |   cell 3 | i= 3500 | global | obj=2.2589e-04 | data=1.7798e-04 | phys=9.2630e-06 | |g|=3.10e-01
16:06:08 | INFO    | pibe.training.trainer |   cell 3 | i= 3750 | global | obj=7.0168e-05 | data=3.1948e-05 | phys=5.6888e-06 | |g|=1.29e-01
16:06:16 | INFO    | pibe.training.trainer |   cell 3 | i= 4000 | global | obj=4.3123e-05 | data=5.6366e-06 | phys=8.4645e-06 | |g|=1.35e-01
16:06:24 | INFO    | pibe.training.trainer |   cell 3 | i= 4250 | global | obj=3.5678e-05 | data=3.5235e-06 | phys=2.2259e-06 | |g|=2.15e-02
16:06:31 | INFO    | pibe.training.trainer |   cell 3 | i= 4500 | global | obj=3.3019e-05 | data=4.3177e-06 | phys=2.9482e-06 | |g|=2.95e-02
16:06:39 | INFO    | pibe.training.trainer |   cell 3 | i= 4750 | global | obj=2.9045e-05 | data=2.9363e-06 | phys=2.5263e-06 | |g|=4.02e-02
16:06:47 | INFO    | pibe.training.trainer |   cell 3 | i= 5000 | global | obj=3.3254e-05 | data=3.2351e-06 | phys=3.2003e-06 | |g|=1.42e-02
16:06:54 | INFO    | pibe.training.trainer |   cell 3 | i= 5250 | global | obj=2.6561e-05 | data=2.6380e-06 | phys=2.2240e-06 | |g|=6.75e-03
16:07:02 | INFO    | pibe.training.trainer |   cell 3 | i= 5500 | global | obj=2.9340e-05 | data=2.9044e-06 | phys=2.7645e-06 | |g|=4.37e-03
16:07:10 | INFO    | pibe.training.trainer |   cell 3 | i= 5750 | global | obj=3.3103e-05 | data=3.1590e-06 | phys=3.4584e-06 | |g|=1.05e-02
16:07:18 | INFO    | pibe.training.trainer |   cell 3 | i= 5999 | global | obj=3.4381e-05 | data=3.6187e-06 | phys=3.4564e-06 | |g|=3.27e-03
16:07:18 | INFO    | pibe.training.trainer |   cell 3 done in 157.4s | val local=1.6637e-05 (data=8.5878e-06, phys=8.0487e-06)
16:07:18 | INFO    | pibe.training.trainer | cell 4/5: 3000 local iterations then 3000 fine-tuning iterations
16:07:18 | INFO    | pibe.training.trainer |   cell 4 | i=    0 | local  | obj=2.3071e+00 | data=6.3631e-01 | phys=1.6708e+00 | |g|=3.09e+01
16:07:25 | INFO    | pibe.training.trainer |   cell 4 | i=  250 | local  | obj=5.1219e-04 | data=3.4640e-04 | phys=1.6579e-04 | |g|=1.21e-01
16:07:32 | INFO    | pibe.training.trainer |   cell 4 | i=  500 | local  | obj=3.2787e-04 | data=2.6123e-04 | phys=6.6640e-05 | |g|=5.45e-02
16:07:39 | INFO    | pibe.training.trainer |   cell 4 | i=  750 | local  | obj=2.2240e-04 | data=1.4739e-04 | phys=7.5016e-05 | |g|=8.73e-02
16:07:46 | INFO    | pibe.training.trainer |   cell 4 | i= 1000 | local  | obj=1.6877e-04 | data=9.8438e-05 | phys=7.0337e-05 | |g|=8.84e-02
16:07:53 | INFO    | pibe.training.trainer |   cell 4 | i= 1250 | local  | obj=1.2803e-04 | data=8.8465e-05 | phys=3.9564e-05 | |g|=8.34e-02
16:08:00 | INFO    | pibe.training.trainer |   cell 4 | i= 1500 | local  | obj=6.4540e-05 | data=3.1210e-05 | phys=3.3330e-05 | |g|=7.71e-02
16:08:07 | INFO    | pibe.training.trainer |   cell 4 | i= 1750 | local  | obj=7.3623e-05 | data=3.0059e-05 | phys=4.3563e-05 | |g|=9.68e-02
16:08:15 | INFO    | pibe.training.trainer |   cell 4 | i= 2000 | local  | obj=4.3206e-05 | data=2.8300e-05 | phys=1.4906e-05 | |g|=5.15e-02
16:08:22 | INFO    | pibe.training.trainer |   cell 4 | i= 2250 | local  | obj=2.8189e-05 | data=1.6524e-05 | phys=1.1665e-05 | |g|=1.84e-02
16:08:29 | INFO    | pibe.training.trainer |   cell 4 | i= 2500 | local  | obj=3.8873e-05 | data=2.4310e-05 | phys=1.4563e-05 | |g|=3.06e-02
16:08:36 | INFO    | pibe.training.trainer |   cell 4 | i= 2750 | local  | obj=2.3475e-05 | data=1.3237e-05 | phys=1.0238e-05 | |g|=1.83e-02
16:08:43 | INFO    | pibe.training.trainer |   cell 4 | i= 3000 | global | obj=6.5177e-05 | data=2.0324e-05 | phys=1.2457e-05 | |g|=5.33e-02
16:08:55 | INFO    | pibe.training.trainer |   cell 4 | i= 3250 | global | obj=5.9323e-04 | data=4.2607e-05 | phys=3.3874e-05 | |g|=7.91e-01
16:09:06 | INFO    | pibe.training.trainer |   cell 4 | i= 3500 | global | obj=1.0928e-04 | data=1.8501e-05 | phys=1.0982e-05 | |g|=2.46e-01
16:09:18 | INFO    | pibe.training.trainer |   cell 4 | i= 3750 | global | obj=6.2072e-05 | data=1.7317e-05 | phys=3.9170e-06 | |g|=1.25e-01
16:09:30 | INFO    | pibe.training.trainer |   cell 4 | i= 4000 | global | obj=6.2550e-05 | data=1.1553e-05 | phys=9.1361e-06 | |g|=1.54e-01
16:09:41 | INFO    | pibe.training.trainer |   cell 4 | i= 4250 | global | obj=4.6556e-05 | data=3.0406e-06 | phys=5.1962e-06 | |g|=8.32e-02
16:09:52 | INFO    | pibe.training.trainer |   cell 4 | i= 4500 | global | obj=2.3460e-05 | data=1.6920e-06 | phys=2.0921e-06 | |g|=1.62e-02
16:10:04 | INFO    | pibe.training.trainer |   cell 4 | i= 4750 | global | obj=3.0639e-05 | data=1.9379e-06 | phys=1.8715e-06 | |g|=2.28e-02
16:10:15 | INFO    | pibe.training.trainer |   cell 4 | i= 5000 | global | obj=3.2565e-05 | data=1.9826e-06 | phys=2.7099e-06 | |g|=2.10e-02
16:10:26 | INFO    | pibe.training.trainer |   cell 4 | i= 5250 | global | obj=2.4038e-05 | data=1.9829e-06 | phys=2.5943e-06 | |g|=1.67e-02
16:10:38 | INFO    | pibe.training.trainer |   cell 4 | i= 5500 | global | obj=2.9709e-05 | data=1.7472e-06 | phys=2.5636e-06 | |g|=6.36e-03
16:10:49 | INFO    | pibe.training.trainer |   cell 4 | i= 5750 | global | obj=2.6173e-05 | data=1.8883e-06 | phys=2.3233e-06 | |g|=9.61e-03
16:11:01 | INFO    | pibe.training.trainer |   cell 4 | i= 5999 | global | obj=2.7287e-05 | data=1.5016e-06 | phys=1.8491e-06 | |g|=2.81e-03
16:11:01 | INFO    | pibe.training.trainer |   cell 4 done in 223.0s | val local=1.1834e-05 (data=5.0810e-06, phys=6.7526e-06)
16:11:01 | INFO    | pibe.training.trainer | cell 5/5: 3000 local iterations then 3000 fine-tuning iterations
16:11:01 | INFO    | pibe.training.trainer |   cell 5 | i=    0 | local  | obj=2.3051e+01 | data=2.6378e+00 | phys=2.0413e+01 | |g|=3.27e+02
16:11:09 | INFO    | pibe.training.trainer |   cell 5 | i=  250 | local  | obj=2.3244e-01 | data=7.6838e-02 | phys=1.5560e-01 | |g|=2.46e+01
16:11:18 | INFO    | pibe.training.trainer |   cell 5 | i=  500 | local  | obj=1.3129e-01 | data=1.0421e-01 | phys=2.7082e-02 | |g|=5.15e+00
16:11:26 | INFO    | pibe.training.trainer |   cell 5 | i=  750 | local  | obj=1.4628e-01 | data=1.4481e-01 | phys=1.4679e-03 | |g|=5.94e+00
16:11:35 | INFO    | pibe.training.trainer |   cell 5 | i= 1000 | local  | obj=1.4395e-01 | data=1.2078e-01 | phys=2.3165e-02 | |g|=3.59e+00
16:11:44 | INFO    | pibe.training.trainer |   cell 5 | i= 1250 | local  | obj=1.3920e-01 | data=1.3552e-01 | phys=3.6817e-03 | |g|=3.55e+00
16:11:53 | INFO    | pibe.training.trainer |   cell 5 | i= 1500 | local  | obj=1.3306e-01 | data=1.1284e-01 | phys=2.0226e-02 | |g|=3.19e+00
16:12:01 | INFO    | pibe.training.trainer |   cell 5 | i= 1750 | local  | obj=1.3386e-01 | data=1.3055e-01 | phys=3.3041e-03 | |g|=3.41e+00
16:12:10 | INFO    | pibe.training.trainer |   cell 5 | i= 2000 | local  | obj=1.2919e-01 | data=1.0980e-01 | phys=1.9396e-02 | |g|=2.90e+00
16:12:19 | INFO    | pibe.training.trainer |   cell 5 | i= 2250 | local  | obj=1.2858e-01 | data=1.2543e-01 | phys=3.1521e-03 | |g|=3.18e+00
16:12:28 | INFO    | pibe.training.trainer |   cell 5 | i= 2500 | local  | obj=1.3079e-01 | data=1.1346e-01 | phys=1.7333e-02 | |g|=2.41e+00
16:12:36 | INFO    | pibe.training.trainer |   cell 5 | i= 2750 | local  | obj=1.3069e-01 | data=1.2715e-01 | phys=3.5350e-03 | |g|=2.65e+00
16:12:45 | INFO    | pibe.training.trainer |   cell 5 | i= 3000 | global | obj=1.3717e-01 | data=1.1799e-01 | phys=1.9154e-02 | |g|=1.14e+01
16:13:00 | INFO    | pibe.training.trainer |   cell 5 | i= 3250 | global | obj=4.4089e-03 | data=1.4356e-04 | phys=3.1847e-03 | |g|=5.20e+00
16:13:16 | INFO    | pibe.training.trainer |   cell 5 | i= 3500 | global | obj=3.6213e-03 | data=3.2579e-04 | phys=2.2037e-03 | |g|=4.39e+00
16:13:31 | INFO    | pibe.training.trainer |   cell 5 | i= 3750 | global | obj=3.1619e-03 | data=1.4382e-04 | phys=2.5447e-03 | |g|=4.40e+00
16:13:47 | INFO    | pibe.training.trainer |   cell 5 | i= 4000 | global | obj=1.7597e-02 | data=2.1843e-04 | phys=1.3740e-02 | |g|=8.08e+00
16:14:02 | INFO    | pibe.training.trainer |   cell 5 | i= 4250 | global | obj=1.2965e-02 | data=6.4635e-05 | phys=1.1413e-02 | |g|=9.33e+00
16:14:18 | INFO    | pibe.training.trainer |   cell 5 | i= 4500 | global | obj=6.8566e-03 | data=1.6251e-04 | phys=4.9534e-03 | |g|=5.95e+00
16:14:33 | INFO    | pibe.training.trainer |   cell 5 | i= 4750 | global | obj=3.0150e-03 | data=6.2951e-05 | phys=2.2308e-03 | |g|=3.85e+00
16:14:49 | INFO    | pibe.training.trainer |   cell 5 | i= 5000 | global | obj=2.6992e-03 | data=1.9932e-05 | phys=2.1236e-03 | |g|=3.61e+00
16:15:04 | INFO    | pibe.training.trainer |   cell 5 | i= 5250 | global | obj=2.2861e-03 | data=7.3715e-05 | phys=1.5818e-03 | |g|=2.93e+00
16:15:20 | INFO    | pibe.training.trainer |   cell 5 | i= 5500 | global | obj=1.3275e-03 | data=7.6744e-05 | phys=8.5387e-04 | |g|=2.17e+00
16:15:36 | INFO    | pibe.training.trainer |   cell 5 | i= 5750 | global | obj=1.7632e-03 | data=2.2765e-05 | phys=1.3618e-03 | |g|=2.92e+00
16:15:51 | INFO    | pibe.training.trainer |   cell 5 | i= 6000 | global | obj=1.2176e-03 | data=9.3787e-05 | phys=7.9783e-04 | |g|=2.10e+00
16:16:06 | INFO    | pibe.training.trainer |   cell 5 | i= 6250 | global | obj=2.4700e-03 | data=6.8927e-04 | phys=9.3382e-04 | |g|=2.59e+00
16:16:22 | INFO    | pibe.training.trainer |   cell 5 | i= 6500 | global | obj=1.2120e-03 | data=6.8332e-05 | phys=7.0291e-04 | |g|=2.08e+00
16:16:37 | INFO    | pibe.training.trainer |   cell 5 | i= 6750 | global | obj=1.1207e-03 | data=7.2996e-05 | phys=5.2379e-04 | |g|=1.65e+00
16:16:52 | INFO    | pibe.training.trainer |   cell 5 | i= 7000 | global | obj=7.4081e-04 | data=7.5595e-05 | phys=1.2891e-04 | |g|=8.79e-01
16:17:07 | INFO    | pibe.training.trainer |   cell 5 | i= 7250 | global | obj=1.1539e-03 | data=1.8435e-05 | phys=7.9243e-04 | |g|=2.22e+00
16:17:22 | INFO    | pibe.training.trainer |   cell 5 | i= 7500 | global | obj=1.6433e-03 | data=1.8156e-04 | phys=1.1111e-03 | |g|=2.69e+00
16:17:37 | INFO    | pibe.training.trainer |   cell 5 | i= 7750 | global | obj=2.7333e-03 | data=7.7708e-05 | phys=1.2857e-03 | |g|=2.23e+00
16:17:52 | INFO    | pibe.training.trainer |   cell 5 | i= 8000 | global | obj=4.1791e-04 | data=1.8029e-05 | phys=7.6230e-05 | |g|=3.50e-01
16:18:07 | INFO    | pibe.training.trainer |   cell 5 | i= 8250 | global | obj=1.1029e-03 | data=5.7675e-05 | phys=6.6204e-04 | |g|=1.98e+00
16:18:22 | INFO    | pibe.training.trainer |   cell 5 | i= 8500 | global | obj=7.7088e-04 | data=2.8534e-05 | phys=4.4317e-04 | |g|=1.50e+00
16:18:37 | INFO    | pibe.training.trainer |   cell 5 | i= 8750 | global | obj=7.4613e-04 | data=9.9048e-06 | phys=4.6784e-04 | |g|=1.66e+00
16:18:52 | INFO    | pibe.training.trainer |   cell 5 | i= 9000 | global | obj=7.4182e-04 | data=1.1890e-04 | phys=3.2490e-04 | |g|=1.57e+00
16:19:07 | INFO    | pibe.training.trainer |   cell 5 | i= 9250 | global | obj=8.5222e-04 | data=3.5457e-05 | phys=5.0590e-04 | |g|=1.77e+00
16:19:22 | INFO    | pibe.training.trainer |   cell 5 | i= 9500 | global | obj=2.6838e-03 | data=2.3649e-04 | phys=8.0696e-04 | |g|=9.82e-01
16:19:37 | INFO    | pibe.training.trainer |   cell 5 | i= 9750 | global | obj=5.3207e-04 | data=1.6879e-05 | phys=2.8711e-04 | |g|=1.36e+00
16:19:52 | INFO    | pibe.training.trainer |   cell 5 | i=10000 | global | obj=2.0900e-04 | data=1.6905e-05 | phys=8.9467e-06 | |g|=1.15e-01
16:20:07 | INFO    | pibe.training.trainer |   cell 5 | i=10250 | global | obj=3.0655e-03 | data=2.8234e-04 | phys=7.8458e-04 | |g|=1.73e+00
16:20:22 | INFO    | pibe.training.trainer |   cell 5 | i=10500 | global | obj=2.9605e-03 | data=1.0405e-04 | phys=2.3671e-03 | |g|=3.75e+00
