12:49:24 | INFO    | train_pibe         | experiment:
system            : automatica_n4v3(n=4) on cpu (torch.float64)
true theta        : [0.23502650090327654, 0.10390993219989397, -0.020308528436274564]
basis             : FourierBasis(q=4, H=2, omega=1.25664, horizon=[0, 20], periods=4)
  lambda_min(W)   : 1.0000e+01   (Eq. 3, must be > 0)
  eps_(d,q)       : 0.0000e+00
noise             : TruncatedGaussianNoise(sigma=0.002, bound=0.006)
data              : TrajectoryData(P=64, N=201, n=4, horizon=[0, 20])
  train / val     : 51 / 13
  data fill h_d   : 5.0000e-02
  coll fill h_r   : 2.5000e-02
bank              : cells 2..5, 414222 parameters
12:49:25 | INFO    | train_pibe         | disturbance observability  (sigma = 0.002, N = 201)
  i |       gain |    settled |  signature |     SNR |  eff SNR |
----------------------------------------------------------------------------
  1 |  9.432e-02 |  7.331e-02 |  1.100e-02 |    5.50 |    77.95 |
  2 |  7.288e-02 |  7.551e-02 |  1.133e-02 |    5.66 |    80.29 |
  3 |  3.162e-02 |  1.465e-02 |  1.758e-03 |    0.88 |    12.47 |  <- below the noise floor
  4 |  1.300e-02 |  1.233e-02 |  1.479e-03 |    0.74 |    10.49 |  <- below the noise floor

basis function 4 leaves a trace 0.74x the noise; it is not
recoverable pointwise. Reduce sigma, lower the basis frequency, lengthen the
horizon, or reduce q -- training cannot help.
12:52:33 | INFO    | pibe.training.trainer |   cell 3 | i= 3000 | global | obj=1.4335e-04 | data=5.5081e-05 | phys=4.5455e-05 | |g|=8.85e-02
12:52:42 | INFO    | pibe.training.trainer |   cell 3 | i= 3250 | global | obj=1.5572e-04 | data=5.9771e-05 | phys=2.7369e-05 | |g|=2.74e-01
12:52:51 | INFO    | pibe.training.trainer |   cell 3 | i= 3500 | global | obj=1.9770e-04 | data=1.0006e-04 | phys=2.5332e-05 | |g|=3.50e-01
12:53:00 | INFO    | pibe.training.trainer |   cell 3 | i= 3750 | global | obj=1.6148e-04 | data=1.2772e-05 | phys=9.9308e-06 | |g|=4.42e-01
12:53:09 | INFO    | pibe.training.trainer |   cell 3 | i= 4000 | global | obj=8.5285e-05 | data=2.5393e-05 | phys=2.0250e-05 | |g|=9.19e-02
12:53:18 | INFO    | pibe.training.trainer |   cell 3 | i= 4250 | global | obj=6.4693e-05 | data=1.3473e-05 | phys=1.1659e-05 | |g|=8.97e-02
12:53:26 | INFO    | pibe.training.trainer |   cell 3 | i= 4500 | global | obj=4.7366e-05 | data=8.8293e-06 | phys=6.2464e-06 | |g|=4.79e-02
12:53:35 | INFO    | pibe.training.trainer |   cell 3 | i= 4750 | global | obj=5.5899e-05 | data=1.0058e-05 | phys=8.2015e-06 | |g|=1.31e-02
12:53:44 | INFO    | pibe.training.trainer |   cell 3 | i= 5000 | global | obj=5.4705e-05 | data=9.1554e-06 | phys=9.3771e-06 | |g|=3.87e-02
12:53:53 | INFO    | pibe.training.trainer |   cell 3 | i= 5250 | global | obj=5.5167e-05 | data=9.3761e-06 | phys=1.0113e-05 | |g|=2.63e-02
12:54:02 | INFO    | pibe.training.trainer |   cell 3 | i= 5500 | global | obj=4.0908e-05 | data=5.4313e-06 | phys=4.3673e-06 | |g|=1.05e-02
12:54:11 | INFO    | pibe.training.trainer |   cell 3 | i= 5750 | global | obj=3.8890e-05 | data=6.4021e-06 | phys=5.7660e-06 | |g|=3.34e-03
12:54:20 | INFO    | pibe.training.trainer |   cell 3 | i= 5999 | global | obj=3.2207e-05 | data=5.1351e-06 | phys=4.1677e-06 | |g|=7.57e-03
12:54:20 | INFO    | pibe.training.trainer |   cell 3 done in 181.8s | val local=3.5527e-05 (data=1.7042e-05, phys=1.8485e-05)
12:54:20 | INFO    | pibe.training.trainer | cell 4/5: 3000 local iterations then 3000 fine-tuning iterations
12:54:20 | INFO    | pibe.training.trainer |   cell 4 | i=    0 | local  | obj=2.1026e+00 | data=1.1500e+00 | phys=9.5260e-01 | |g|=1.97e+01
12:54:28 | INFO    | pibe.training.trainer |   cell 4 | i=  250 | local  | obj=1.7727e-03 | data=1.5879e-03 | phys=1.8477e-04 | |g|=1.85e-01
12:54:36 | INFO    | pibe.training.trainer |   cell 4 | i=  500 | local  | obj=1.1112e-03 | data=6.8958e-04 | phys=4.2164e-04 | |g|=3.65e-01
12:54:43 | INFO    | pibe.training.trainer |   cell 4 | i=  750 | local  | obj=1.9719e-03 | data=1.3884e-03 | phys=5.8343e-04 | |g|=5.44e-01
12:54:51 | INFO    | pibe.training.trainer |   cell 4 | i= 1000 | local  | obj=6.5923e-04 | data=3.5188e-04 | phys=3.0735e-04 | |g|=3.35e-01
12:54:59 | INFO    | pibe.training.trainer |   cell 4 | i= 1250 | local  | obj=2.1967e-04 | data=1.2914e-04 | phys=9.0526e-05 | |g|=1.47e-01
12:55:07 | INFO    | pibe.training.trainer |   cell 4 | i= 1500 | local  | obj=8.1526e-04 | data=1.6311e-04 | phys=6.5215e-04 | |g|=5.71e-01
12:55:14 | INFO    | pibe.training.trainer |   cell 4 | i= 1750 | local  | obj=2.0181e-04 | data=9.6306e-05 | phys=1.0550e-04 | |g|=1.51e-01
12:55:22 | INFO    | pibe.training.trainer |   cell 4 | i= 2000 | local  | obj=1.4580e-04 | data=6.5677e-05 | phys=8.0128e-05 | |g|=1.61e-01
12:55:30 | INFO    | pibe.training.trainer |   cell 4 | i= 2250 | local  | obj=1.2806e-04 | data=5.9794e-05 | phys=6.8269e-05 | |g|=1.44e-01
12:55:37 | INFO    | pibe.training.trainer |   cell 4 | i= 2500 | local  | obj=5.5023e-05 | data=3.4497e-05 | phys=2.0526e-05 | |g|=1.57e-02
12:55:45 | INFO    | pibe.training.trainer |   cell 4 | i= 2750 | local  | obj=5.5244e-05 | data=2.6526e-05 | phys=2.8718e-05 | |g|=3.76e-02
12:55:53 | INFO    | pibe.training.trainer |   cell 4 | i= 3000 | global | obj=7.9950e-05 | data=2.3277e-05 | phys=2.4801e-05 | |g|=7.14e-02
12:56:06 | INFO    | pibe.training.trainer |   cell 4 | i= 3250 | global | obj=4.1269e-04 | data=2.6871e-05 | phys=2.5938e-05 | |g|=3.40e-01
12:56:20 | INFO    | pibe.training.trainer |   cell 4 | i= 3500 | global | obj=1.3305e-04 | data=7.8672e-06 | phys=4.0491e-05 | |g|=1.65e-01
12:56:33 | INFO    | pibe.training.trainer |   cell 4 | i= 3750 | global | obj=1.5290e-04 | data=2.0723e-05 | phys=1.2818e-05 | |g|=1.77e-01
12:56:47 | INFO    | pibe.training.trainer |   cell 4 | i= 4000 | global | obj=8.7175e-05 | data=8.2153e-06 | phys=1.4585e-05 | |g|=1.05e-01
12:57:01 | INFO    | pibe.training.trainer |   cell 4 | i= 4250 | global | obj=7.8997e-05 | data=7.4009e-06 | phys=7.1277e-06 | |g|=8.64e-02
12:57:15 | INFO    | pibe.training.trainer |   cell 4 | i= 4500 | global | obj=6.1289e-05 | data=1.1999e-05 | phys=7.7267e-06 | |g|=5.65e-02
12:57:28 | INFO    | pibe.training.trainer |   cell 4 | i= 4750 | global | obj=4.5821e-05 | data=4.6244e-06 | phys=6.7727e-06 | |g|=4.02e-02
12:57:42 | INFO    | pibe.training.trainer |   cell 4 | i= 5000 | global | obj=6.3309e-05 | data=4.6221e-06 | phys=6.0350e-06 | |g|=2.55e-02
12:57:56 | INFO    | pibe.training.trainer |   cell 4 | i= 5250 | global | obj=4.1586e-05 | data=4.3063e-06 | phys=5.8002e-06 | |g|=2.53e-02
12:58:10 | INFO    | pibe.training.trainer |   cell 4 | i= 5500 | global | obj=3.6056e-05 | data=3.4694e-06 | phys=4.3238e-06 | |g|=1.22e-02
12:58:25 | INFO    | pibe.training.trainer |   cell 4 | i= 5750 | global | obj=4.9103e-05 | data=4.1085e-06 | phys=4.1819e-06 | |g|=5.57e-03
12:58:39 | INFO    | pibe.training.trainer |   cell 4 | i= 5999 | global | obj=4.8444e-05 | data=5.1862e-06 | phys=5.1020e-06 | |g|=1.81e-02
12:58:39 | INFO    | pibe.training.trainer |   cell 4 done in 258.2s | val local=1.4439e-05 (data=7.1133e-06, phys=7.3257e-06)
12:58:39 | INFO    | pibe.training.trainer | cell 5/5: 3000 local iterations then 3000 fine-tuning iterations
12:58:39 | INFO    | pibe.training.trainer |   cell 5 | i=    0 | local  | obj=3.1710e+00 | data=3.0624e-01 | phys=2.8648e+00 | |g|=1.91e+02
12:58:48 | INFO    | pibe.training.trainer |   cell 5 | i=  250 | local  | obj=6.0710e-01 | data=5.7385e-01 | phys=3.3245e-02 | |g|=1.37e+00
